date,ticker,close
2025-01-01,AAA,100.0000
2025-01-01,BBB,76.8000
2025-01-01,CCC,55.7000
2025-01-02,AAA,100.4469
2025-01-02,BBB,76.8641
2025-01-02,CCC,56.0473
2025-01-03,AAA,100.8753
2025-01-03,BBB,76.8579
2025-01-03,CCC,56.3482
2025-01-04,AAA,101.2680
2025-01-04,BBB,76.7856
2025-01-04,CCC,56.5740
2025-01-05,AAA,101.6098
2025-01-05,BBB,76.6541
2025-01-05,CCC,56.7035
2025-01-06,AAA,101.8888
2025-01-06,BBB,76.4725
2025-01-06,CCC,56.7248
2025-01-07,AAA,102.0970
2025-01-07,BBB,76.2522
2025-01-07,CCC,56.6366
2025-01-08,AAA,102.2308
2025-01-08,BBB,76.0059
2025-01-08,CCC,56.4490
2025-01-09,AAA,102.2912
2025-01-09,BBB,75.7474
2025-01-09,CCC,56.1820
2025-01-10,AAA,102.2837
2025-01-10,BBB,75.4910
2025-01-10,CCC,55.8639
2025-01-11,AAA,102.2182
2025-01-11,BBB,75.2509
2025-01-11,CCC,55.5277
2025-01-12,AAA,102.1080
2025-01-12,BBB,75.0407
2025-01-12,CCC,55.2084
2025-01-13,AAA,101.9693
2025-01-13,BBB,74.8727
2025-01-13,CCC,54.9388
2025-01-14,AAA,101.8202
2025-01-14,BBB,74.7576
2025-01-14,CCC,54.7462
2025-01-15,AAA,101.6791
2025-01-15,BBB,74.7040
2025-01-15,CCC,54.6496
2025-01-16,AAA,101.5641
2025-01-16,BBB,74.7180
2025-01-16,CCC,54.6580
2025-01-17,AAA,101.4918
2025-01-17,BBB,74.8031
2025-01-17,CCC,54.7691
2025-01-18,AAA,101.4760
2025-01-18,BBB,74.9598
2025-01-18,CCC,54.9701
2025-01-19,AAA,101.5270
2025-01-19,BBB,75.1858
2025-01-19,CCC,55.2393
2025-01-20,AAA,101.6508
2025-01-20,BBB,75.4763
2025-01-20,CCC,55.5481
2025-01-21,AAA,101.8493
2025-01-21,BBB,75.8234
2025-01-21,CCC,55.8649
2025-01-22,AAA,102.1193
2025-01-22,BBB,76.2175
2025-01-22,CCC,56.1583
2025-01-23,AAA,102.4534
2025-01-23,BBB,76.6468
2025-01-23,CCC,56.4007
2025-01-24,AAA,102.8401
2025-01-24,BBB,77.0981
2025-01-24,CCC,56.5715
2025-01-25,AAA,103.2647
2025-01-25,BBB,77.5575
2025-01-25,CCC,56.6591
2025-01-26,AAA,103.7102
2025-01-26,BBB,78.0106
2025-01-26,CCC,56.6622
2025-01-27,AAA,104.1581
2025-01-27,BBB,78.4433
2025-01-27,CCC,56.5905
2025-01-28,AAA,104.5901
2025-01-28,BBB,78.8424
2025-01-28,CCC,56.4626
2025-01-29,AAA,104.9884
2025-01-29,BBB,79.1960
2025-01-29,CCC,56.3046
2025-01-30,AAA,105.3377
2025-01-30,BBB,79.4939
2025-01-30,CCC,56.1470
2025-01-31,AAA,105.6256
2025-01-31,BBB,79.7283
2025-01-31,CCC,56.0207
2025-02-01,AAA,105.8435
2025-02-01,BBB,79.8938
2025-02-01,CCC,55.9542
2025-02-02,AAA,105.9872
2025-02-02,BBB,79.9877
2025-02-02,CCC,55.9699
2025-02-03,AAA,106.0571
2025-02-03,BBB,80.0104
2025-02-03,CCC,56.0813
2025-02-04,AAA,106.0582
2025-02-04,BBB,79.9649
2025-02-04,CCC,56.2918
2025-02-05,AAA,105.9997
2025-02-05,BBB,79.8570
2025-02-05,CCC,56.5937
2025-02-06,AAA,105.8945
2025-02-06,BBB,79.6950
2025-02-06,CCC,56.9692
2025-02-07,AAA,105.7587
2025-02-07,BBB,79.4894
2025-02-07,CCC,57.3919
2025-02-08,AAA,105.6098
2025-02-08,BBB,79.2523
2025-02-08,CCC,57.8297
2025-02-09,AAA,105.4666
2025-02-09,BBB,78.9971
2025-02-09,CCC,58.2482
2025-02-10,AAA,105.3472
2025-02-10,BBB,78.7381
2025-02-10,CCC,58.6143
2025-02-11,AAA,105.2684
2025-02-11,BBB,78.4895
2025-02-11,CCC,58.8996
2025-02-12,AAA,105.2444
2025-02-12,BBB,78.2653
2025-02-12,CCC,59.0837
2025-02-13,AAA,105.2860
2025-02-13,BBB,78.0783
2025-02-13,CCC,59.1559
2025-02-14,AAA,105.4000
2025-02-14,BBB,77.9400
2025-02-14,CCC,59.1168
2025-02-15,AAA,105.5886
2025-02-15,BBB,77.8600
2025-02-15,CCC,58.9779
2025-02-16,AAA,105.8495
2025-02-16,BBB,77.8453
2025-02-16,CCC,58.7605
2025-02-17,AAA,106.1756
2025-02-17,BBB,77.9006
2025-02-17,CCC,58.4931
2025-02-18,AAA,106.5561
2025-02-18,BBB,78.0276
2025-02-18,CCC,58.2087
2025-02-19,AAA,106.9767
2025-02-19,BBB,78.2252
2025-02-19,CCC,57.9409
2025-02-20,AAA,107.4204
2025-02-20,BBB,78.4897
2025-02-20,CCC,57.7203
2025-02-21,AAA,107.8691
2025-02-21,BBB,78.8143
2025-02-21,CCC,57.5715
2025-02-22,AAA,108.3042
2025-02-22,BBB,79.1902
2025-02-22,CCC,57.5102
2025-02-23,AAA,108.7079
2025-02-23,BBB,79.6064
2025-02-23,CCC,57.5420
